case_id,source_experiment,source_artifact_path,dataset,model_family,explainer,instance_id,prediction,prediction_confidence,true_label,normalized_explanation,explanation_length_tokens,quadrant,random_seed,sample_size,technical_metrics
exp4_003259ff27515980,exp3_cross_dataset,experiments\exp3_cross_dataset\results\breast_cancer\xgb_shap\seed_42\n_100\results.json,breast_cancer,xgb,shap,15,1,,1,SHAP top local factors: worst concave points: 0.1088; area error: 0.0730; worst smoothness: 0.0547; worst concavity: 0.0499; mean area: 0.0465; worst perimeter: -0.0450; mean concave points: -0.0385; worst symmetry: 0.0370; worst radius: 0.0173; radius error: 0.0044,78,TP,42,100,"{""cost"": 1004.2661000043154, ""faithfulness_gap"": 0.674431562423706, ""fidelity"": 0.5420163016194142, ""runtime_ms"": 1004.2661000043154, ""sparsity"": 0.3333333333333333, ""stability"": 0.6419663709420256}"
exp4_03f9ac9f3ab42b8b,exp2_scaled,experiments\exp2_scaled\results\logreg_shap\seed_789\n_200\results.json,adult,logreg,shap,199,0,,1,SHAP top local factors: sex_Female: -0.1114; relationship_Wife: 0.1055; marital-status_Married-civ-spouse: 0.0939; education-num: -0.0451; age: 0.0331; relationship_Husband: 0.0293; marital-status_Never-married: 0.0281; sex_Male: 0.0246; occupation_Adm-clerical: 0.0136; occupation_Other-service: 0.0113,82,FN,789,200,"{""cost"": 25.604584021493793, ""faithfulness_gap"": 0.20525071266389547, ""fidelity"": 0.928490203718954, ""runtime_ms"": 25.604584021493793, ""sparsity"": 0.09259259259259259, ""stability"": 0.7986815163310846}"
exp4_052659e044864140,exp3_cross_dataset,experiments\exp3_cross_dataset\results\breast_cancer\xgb_shap\seed_456\n_100\results.json,breast_cancer,xgb,shap,44,0,,0,SHAP top local factors: worst concave points: -0.1515; worst area: -0.1271; mean concave points: -0.1187; worst perimeter: -0.0843; worst texture: -0.0732; area error: -0.0379; worst radius: -0.0343; worst concavity: -0.0287; mean radius: -0.0191; worst smoothness: -0.0182,86,TN,456,100,"{""cost"": 1012.2133999830112, ""faithfulness_gap"": 0.07686503231525421, ""fidelity"": 0.8896782543651971, ""runtime_ms"": 1012.2133999830112, ""sparsity"": 0.3333333333333333, ""stability"": 0.9819237532453567}"
exp4_05cbef61c778f3fb,exp3_cross_dataset,experiments\exp3_cross_dataset\results\breast_cancer\xgb_shap\seed_456\n_100\results.json,breast_cancer,xgb,shap,8,0,,1,SHAP top local factors: worst concave points: -0.1285; worst area: -0.0969; worst texture: -0.0897; worst perimeter: -0.0514; mean concave points: -0.0348; mean smoothness: 0.0323; worst concavity: 0.0297; compactness error: 0.0167; worst symmetry: -0.0080; texture error: -0.0060,83,FN,456,100,"{""cost"": 1001.6629999736324, ""faithfulness_gap"": 0.28028953075408936, ""fidelity"": 0.6748737482715476, ""runtime_ms"": 1001.6629999736324, ""sparsity"": 0.3333333333333333, ""stability"": 0.6558595014206594}"
exp4_06e7340405176025,exp3_cross_dataset,experiments\exp3_cross_dataset\results\breast_cancer\xgb_shap\seed_123\n_100\results.json,breast_cancer,xgb,shap,38,0,,0,SHAP top local factors: worst area: -0.1105; mean concave points: 0.0957; mean texture: 0.0748; worst concavity: -0.0632; worst radius: -0.0488; worst smoothness: 0.0459; area error: -0.0382; worst texture: -0.0332; mean smoothness: -0.0225; concave points error: -0.0193,83,TN,123,100,"{""cost"": 1001.1927000014111, ""faithfulness_gap"": 0.12006843090057373, ""fidelity"": 0.535830805816255, ""runtime_ms"": 1001.1927000014111, ""sparsity"": 0.3333333333333333, ""stability"": 0.6726402410383686}"
exp4_07197d290136f3e3,exp2_scaled,experiments\exp2_scaled\results\logreg_anchors\seed_456\n_200\results.json,adult,logreg,anchors,2573,0,,1,ANCHORS top local factors: education-num: 1.0000; capital-gain: 1.0000; capital-loss: 1.0000; age: 0.0000; fnlwgt: 0.0000; hours-per-week: 0.0000; workclass_Federal-gov: 0.0000; workclass_Local-gov: 0.0000; workclass_Never-worked: 0.0000; workclass_Private: 0.0000,80,FN,456,200,"{""cost"": 295.02866600068955, ""faithfulness_gap"": 0.07972894018656396, ""fidelity"": 0.15148131751107896, ""runtime_ms"": 295.02866600068955, ""sparsity"": 0.027777777777777776, ""stability"": 0.0}"
exp4_07f7eab6526a79eb,exp2_scaled,experiments\exp2_scaled\results\mlp_lime\seed_456\n_50\results.json,adult,mlp,lime,1530,1,,0,LIME top local factors: marital-status_Married-civ-spouse: 0.0571; hours-per-week: 0.0556; marital-status_Never-married: -0.0543; relationship_Unmarried: -0.0505; relationship_Husband: 0.0466; education_HS-grad: -0.0455; sex_Female: -0.0358; age: 0.0167; relationship_Not-in-family: -0.0044; workclass_Private: 0.0016,89,FP,456,50,"{""cost"": 3.1974579906091094, ""faithfulness_gap"": 0.7045811552817158, ""fidelity"": 0.6443879535241969, ""runtime_ms"": 3.1974579906091094, ""sparsity"": 0.09259259259259259, ""stability"": -0.0025804692343749137}"
exp4_084580efd1317ebc,exp2_scaled,experiments\exp2_scaled\results\logreg_dice\seed_789\n_200\results.json,adult,logreg,dice,9454,0,,1,DICE top local factors: education-num: 2.9016; capital-gain: 1.6376; age: 0.0000; fnlwgt: 0.0000; capital-loss: 0.0000; hours-per-week: 0.0000; workclass_Federal-gov: 0.0000; workclass_Local-gov: 0.0000; workclass_Never-worked: 0.0000; workclass_Private: 0.0000,80,FN,789,200,"{""cost"": 456.9341249880381, ""faithfulness_gap"": 0.14749300957888306, ""fidelity"": 0.6850486512636508, ""runtime_ms"": 456.9341249880381, ""sparsity"": 0.018518518518518517, ""stability"": 0.47753424728213983}"
exp4_084efba639afd972,exp3_cross_dataset,experiments\exp3_cross_dataset\results\german_credit\rf_anchors\seed_123\n_100\results.json,german_credit,rf,anchors,47,0,,1,ANCHORS top local factors: duration: 1.0000; age: 1.0000; checking_status_<0: 1.0000; checking_status_no checking: 1.0000; credit_history_critical/other existing credit: 1.0000; purpose_used car: 1.0000; savings_status_<100: 1.0000; savings_status_no known savings: 1.0000; employment_1<=X<4: 1.0000; personal_status_male div/sep: 1.0000,84,FN,123,100,"{""cost"": 5003.125221999653, ""faithfulness_gap"": 0.21999999999999997, ""fidelity"": 0.5241728237131329, ""runtime_ms"": 5003.125221999653, ""sparsity"": 0.22950819672131148, ""stability"": 0.7214935692568996}"
exp4_0997a6b55f4ecd12,exp3_cross_dataset,experiments\exp3_cross_dataset\results\german_credit\xgb_shap\seed_123\n_100\results.json,german_credit,xgb,shap,96,0,,0,SHAP top local factors: duration: -0.1158; checking_status_no checking: -0.1025; savings_status_<100: 0.0590; property_magnitude_no known property: -0.0312; employment_<1: -0.0285; own_telephone_none: -0.0279; purpose_used car: -0.0256; employment_4<=X<7: -0.0206; personal_status_female div/dep/mar: 0.0192; residence_since: -0.0191,90,TN,123,100,"{""cost"": 1001.8403120002404, ""faithfulness_gap"": 0.2101449966430664, ""fidelity"": 0.4179709650351558, ""runtime_ms"": 1001.8403120002404, ""sparsity"": 0.7704918032786885, ""stability"": 0.9055729004739425}"
exp4_0bb8592dcc826334,exp2_scaled,experiments\exp2_scaled\results\logreg_dice\seed_123\n_200\results.json,adult,logreg,dice,5239,0,,1,DICE top local factors: capital-loss: 5.9387; education_Assoc-acdm: 0.9000; age: 0.0000; fnlwgt: 0.0000; education-num: 0.0000; capital-gain: 0.0000; hours-per-week: 0.0000; workclass_Federal-gov: 0.0000; workclass_Local-gov: 0.0000; workclass_Never-worked: 0.0000,82,FN,123,200,"{""cost"": 473.31591599504463, ""faithfulness_gap"": 0.18678179475648587, ""fidelity"": 0.5777541164172563, ""runtime_ms"": 473.31591599504463, ""sparsity"": 0.018518518518518517, ""stability"": 0.050531261920812504}"
exp4_0c57055995cafaca,exp2_scaled,experiments\exp2_scaled\results\logreg_anchors\seed_123\n_100\results.json,adult,logreg,anchors,5662,0,,1,ANCHORS top local factors: education-num: 1.0000; capital-gain: 1.0000; hours-per-week: 1.0000; age: 0.0000; fnlwgt: 0.0000; capital-loss: 0.0000; workclass_Federal-gov: 0.0000; workclass_Local-gov: 0.0000; workclass_Never-worked: 0.0000; workclass_Private: 0.0000,80,FN,123,100,"{""cost"": 1000.8932949999689, ""faithfulness_gap"": 0.09446407696616066, ""fidelity"": 0.4169745444269882, ""runtime_ms"": 1000.8932949999689, ""sparsity"": 0.027777777777777776, ""stability"": 0.1881216833307864}"
exp4_0da6a71373977fce,exp2_scaled,experiments\exp2_scaled\results\logreg_dice\seed_789\n_200\results.json,adult,logreg,dice,4126,1,,1,DICE top local factors: native-country_South: 1.0000; age: 0.0000; fnlwgt: 0.0000; education-num: 0.0000; capital-gain: 0.0000; capital-loss: 0.0000; hours-per-week: 0.0000; workclass_Federal-gov: 0.0000; workclass_Local-gov: 0.0000; workclass_Never-worked: 0.0000,82,TP,789,200,"{""cost"": 461.0266659874469, ""faithfulness_gap"": 0.0005934757173527982, ""fidelity"": -0.03322362380276096, ""runtime_ms"": 461.0266659874469, ""sparsity"": 0.009259259259259259, ""stability"": 0.023046747316855958}"
exp4_0f6578287491844e,exp3_cross_dataset,experiments\exp3_cross_dataset\results\german_credit\xgb_shap\seed_123\n_100\results.json,german_credit,xgb,shap,155,0,,0,SHAP top local factors: credit_history_all paid: -0.1448; checking_status_no checking: -0.1063; purpose_new car: -0.0814; credit_amount: -0.0677; housing_rent: -0.0439; savings_status_<100: 0.0340; purpose_used car: -0.0262; age: -0.0226; property_magnitude_real estate: -0.0217; checking_status_<0: 0.0200,81,TN,123,100,"{""cost"": 1001.5189999994618, ""faithfulness_gap"": 0.5347747802734375, ""fidelity"": 0.8156039080263661, ""runtime_ms"": 1001.5189999994618, ""sparsity"": 0.7704918032786885, ""stability"": 0.5018177625754173}"
