case_id,prompt_condition,replicate,n_judges,clarity_judge_std,clarity_exact_agreement,completeness_judge_std,completeness_exact_agreement,concision_judge_std,concision_exact_agreement,semantic_plausibility_judge_std,semantic_plausibility_exact_agreement,audit_usefulness_judge_std,audit_usefulness_exact_agreement,actionability_judge_std,actionability_exact_agreement,overall_quality_judge_std,overall_quality_exact_agreement
exp4_003259ff27515980,hidden_label_primary,1,2,1.0,0,1.0,0,0.0,1,0.0,1,1.5,0,0.5,0,1.0,0
exp4_003259ff27515980,label_visible_bias_probe,1,2,0.5,0,0.5,0,0.0,1,0.5,0,1.0,0,0.5,0,0.5,0
exp4_003259ff27515980,rubric_alt_sensitivity,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_03f9ac9f3ab42b8b,hidden_label_primary,1,2,0.0,1,0.5,0,0.5,0,1.0,0,1.0,0,0.0,1,0.5,0
exp4_03f9ac9f3ab42b8b,label_visible_bias_probe,1,2,0.0,1,0.5,0,0.5,0,0.5,0,1.0,0,0.5,0,0.5,0
exp4_03f9ac9f3ab42b8b,rubric_alt_sensitivity,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_052659e044864140,hidden_label_primary,1,2,0.0,1,0.5,0,0.5,0,1.0,0,1.0,0,0.5,0,0.5,0
exp4_052659e044864140,label_visible_bias_probe,1,2,0.5,0,1.0,0,0.5,0,0.5,0,1.0,0,0.5,0,0.5,0
exp4_052659e044864140,rubric_alt_sensitivity,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_05cbef61c778f3fb,hidden_label_primary,1,2,0.0,1,1.0,0,0.5,0,1.0,0,1.0,0,0.5,0,0.5,0
exp4_05cbef61c778f3fb,label_visible_bias_probe,1,2,1.0,0,1.0,0,0.0,1,0.0,1,1.0,0,0.5,0,1.0,0
exp4_05cbef61c778f3fb,rubric_alt_sensitivity,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_06e7340405176025,hidden_label_primary,1,2,0.0,1,0.5,0,0.5,0,1.0,0,1.0,0,0.5,0,0.5,0
exp4_06e7340405176025,label_visible_bias_probe,1,2,0.5,0,1.0,0,0.0,1,0.0,1,1.5,0,0.5,0,1.0,0
exp4_06e7340405176025,rubric_alt_sensitivity,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_07197d290136f3e3,hidden_label_primary,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_07197d290136f3e3,label_visible_bias_probe,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_07f7eab6526a79eb,hidden_label_primary,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_07f7eab6526a79eb,label_visible_bias_probe,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_084580efd1317ebc,hidden_label_primary,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_084580efd1317ebc,label_visible_bias_probe,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_084efba639afd972,hidden_label_primary,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_084efba639afd972,label_visible_bias_probe,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_0997a6b55f4ecd12,hidden_label_primary,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_0997a6b55f4ecd12,label_visible_bias_probe,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_0bb8592dcc826334,hidden_label_primary,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_0bb8592dcc826334,label_visible_bias_probe,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_0c57055995cafaca,hidden_label_primary,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_0c57055995cafaca,label_visible_bias_probe,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_0da6a71373977fce,hidden_label_primary,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_0da6a71373977fce,label_visible_bias_probe,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_0f6578287491844e,hidden_label_primary,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_0f6578287491844e,label_visible_bias_probe,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_103d89f1e4cb72f6,hidden_label_primary,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_103d89f1e4cb72f6,label_visible_bias_probe,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_10ccf6bdc14f2a99,hidden_label_primary,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_10ccf6bdc14f2a99,label_visible_bias_probe,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_1759e90b50c033fd,hidden_label_primary,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_1759e90b50c033fd,label_visible_bias_probe,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_18fe52436b35526b,hidden_label_primary,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_18fe52436b35526b,label_visible_bias_probe,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_196e6ce035ebf3e3,hidden_label_primary,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_196e6ce035ebf3e3,label_visible_bias_probe,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_19b944710e090900,hidden_label_primary,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_19b944710e090900,label_visible_bias_probe,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_1a9c16ecde743d5e,hidden_label_primary,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_1a9c16ecde743d5e,label_visible_bias_probe,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_1c49ba0b8d18e8b6,hidden_label_primary,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_1c49ba0b8d18e8b6,label_visible_bias_probe,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_1c525ff1deb5c1a6,hidden_label_primary,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_1c525ff1deb5c1a6,label_visible_bias_probe,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_1de08b8c2918a436,hidden_label_primary,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
exp4_1de08b8c2918a436,label_visible_bias_probe,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
