audit_id,citation_key,title,primary_cluster,r1_include,r2_include,inclusion_agreement,r1_evaluation_target,r2_evaluation_target,evaluation_target_jaccard,r1_evidence_source,r2_evidence_source,evidence_source_jaccard,r1_quality_property,r2_quality_property,quality_property_jaccard,r1_task_context,r2_task_context,task_context_jaccard,adjudication_required,adjudication_notes
AUDIT-01,adebayo2018sanity,Sanity checks for saliency maps,faithfulness_robustness,yes,yes,1,explanation_artifact;explainer_method,explanation_artifact;explainer_method,1.00,proxy;benchmark,proxy,0.50,sanity;faithfulness;robustness,sanity;faithfulness,0.67,image,image,1.00,yes,Clarify whether sanity-check papers should always receive benchmark evidence labels.
AUDIT-02,alvarezmelis2018robustness,On the robustness of interpretability methods,faithfulness_robustness,yes,yes,1,explainer_method;explanation_artifact,explainer_method;explanation_artifact,1.00,proxy,proxy,1.00,stability;robustness,robustness;stability,1.00,general,general,1.00,no,Full agreement.
AUDIT-03,yeh2019infidelity,On the infidelity and sensitivity of explanations,faithfulness_robustness,yes,yes,1,explanation_artifact;explainer_method,explanation_artifact;explainer_method,1.00,proxy;benchmark,proxy;benchmark,1.00,fidelity;stability,fidelity;sensitivity,0.33,general;image,general,0.50,yes,Map sensitivity either as a synonym under stability or as a distinct quality property.
AUDIT-04,rong2022consistent,A consistent and efficient evaluation strategy for attribution methods,faithfulness_robustness,yes,yes,1,explainer_method;explanation_artifact,explainer_method;explanation_artifact,1.00,proxy;benchmark,proxy;benchmark,1.00,fidelity;stability,fidelity;robustness,0.33,image;general,image;general,1.00,yes,Clarify stability versus robustness for attribution perturbation protocols.
AUDIT-05,doshivelez2017rigorous,Towards a rigorous science of interpretable machine learning,human_grounded,yes,yes,1,user_task_outcome;explanation_artifact,user_task_outcome;model_behavior,0.33,expert_human;human_task,expert_human;end_user,0.33,usefulness;plausibility;fidelity,usefulness;interpretability,0.25,general;human_ai_decision,general,0.50,yes,High ambiguity expected because the paper is conceptual and spans evaluation levels.
AUDIT-06,hase2020evaluating,Evaluating explainable AI: Which algorithmic explanations help users predict model behavior?,human_grounded,yes,yes,1,user_task_outcome;explanation_artifact,user_task_outcome;explanation_artifact,1.00,end_user;human_task,end_user,0.50,usefulness;simulatability,usefulness;plausibility,0.33,text;human_ai_decision,text;human_ai_decision,1.00,yes,Decide whether simulatability is a sublabel of usefulness or a separate quality property.
AUDIT-07,kaur2020interpreting,Interpreting interpretability: Understanding data scientists' use of interpretability tools for machine learning,human_grounded,yes,yes,1,user_task_outcome;explainer_method,user_task_outcome;explanation_artifact,0.33,end_user;expert_human,end_user;expert_human,1.00,usability;trust;plausibility,usability;trust,0.67,human_ai_decision;general,human_ai_decision;general,1.00,yes,Clarify whether professional user studies target the explainer method or produced artifact.
AUDIT-08,bucinca2020proxy,Proxy tasks and subjective measures can be misleading in evaluating explainable AI systems,human_grounded,yes,yes,1,user_task_outcome;decision_process,user_task_outcome,0.50,end_user;human_task,end_user,0.50,usefulness;performance;trust,usefulness;performance,0.67,human_ai_decision,human_ai_decision,1.00,yes,Decision-process target label may be redundant with user-task outcome.
AUDIT-09,arrieta2020xai,Explainable artificial intelligence: Concepts taxonomies opportunities and challenges toward responsible AI,taxonomy_survey,yes,yes,1,taxonomy;explainer_method;model_behavior,taxonomy;explainer_method,0.67,taxonomy;expert_human,taxonomy,0.50,interpretability;transparency;explainability,interpretability;transparency,0.67,general,general,1.00,yes,Clarify whether high-level taxonomy papers should receive model-behavior target labels.
AUDIT-10,kadir2023metrics,Evaluation metrics for XAI: A review taxonomy and practical applications,taxonomy_survey,yes,yes,1,taxonomy;metric_family,taxonomy;metric_family,1.00,taxonomy;expert_human,taxonomy;expert_human,1.00,fidelity;stability;sparsity;plausibility,fidelity;stability;sparsity;plausibility,1.00,general,general,1.00,no,Full agreement.
