score_dimension,technical_metric,spearman_correlation,n
clarity,fidelity,0.2801457184342003,4775
clarity,stability,0.17625039370948578,4775
clarity,sparsity,0.323414861289152,4775
clarity,faithfulness_gap,0.1163795549212557,4775
clarity,runtime_ms,-0.10351516696232439,4775
clarity,cost,-0.10351516696232439,4775
completeness,fidelity,0.2904261812579513,4775
completeness,stability,0.21888377540162468,4775
completeness,sparsity,0.39927667236550585,4775
completeness,faithfulness_gap,0.09680955048501744,4775
completeness,runtime_ms,-0.08099689726454158,4775
completeness,cost,-0.08099689726454158,4775
concision,fidelity,0.30065786829817065,4775
concision,stability,0.22074081278393726,4775
concision,sparsity,0.3773134249601232,4775
concision,faithfulness_gap,0.12802078602826708,4775
concision,runtime_ms,-0.10392025631209256,4775
concision,cost,-0.10392025631209256,4775
semantic_plausibility,fidelity,0.3148293623999233,4775
semantic_plausibility,stability,0.25737767251882937,4775
semantic_plausibility,sparsity,0.44020350917409534,4775
semantic_plausibility,faithfulness_gap,0.11862917188927538,4775
semantic_plausibility,runtime_ms,-0.08375509539972634,4775
semantic_plausibility,cost,-0.08375509539972634,4775
audit_usefulness,fidelity,0.2845737493694836,4775
audit_usefulness,stability,0.2220068004808027,4775
audit_usefulness,sparsity,0.380398854734277,4775
audit_usefulness,faithfulness_gap,0.09460643764172391,4775
audit_usefulness,runtime_ms,-0.07598774705195398,4775
audit_usefulness,cost,-0.07598774705195398,4775
actionability,fidelity,0.2741131627741754,4775
actionability,stability,0.18758044359564696,4775
actionability,sparsity,0.36216653544534,4775
actionability,faithfulness_gap,0.09550136437518889,4775
actionability,runtime_ms,-0.08460296050484661,4775
actionability,cost,-0.08460296050484661,4775
overall_quality,fidelity,0.29389047105976973,4775
overall_quality,stability,0.21759566421867918,4775
overall_quality,sparsity,0.3926122747937122,4775
overall_quality,faithfulness_gap,0.09967369358218657,4775
overall_quality,runtime_ms,-0.08118084469394007,4775
overall_quality,cost,-0.08118084469394007,4775
